'Name', 'Branch', 'Area code', 'Rating', 'Phone number', 'Reviews'
'Bank of America', "'150 Broadway' 'Financial District' 'Manhattan NY 10038'", 10038, 2.5, 2124060475, 'I visit this location frequently to deposit or make withdraws. I recently met with an awesome personal banker Joanna Marciniec. I had a few questions on my...'
'TD Bank', "'2 Wall St' 'Financial District' 'New York NY 10005'", 10005, 2.5, 'No phone number posted', 'I go to TD Bank to cash checks as well use their ATM\'s .\nI am always greeted with "hello " from everyone in the bank .\nI joined because of their zero...'
'Bank of America', "'1886 Broadway Frnt 1' 'Upper West Side' 'New York NY 10023'", 10023, 5.0, 2122454935, 'This is my go-to ATM location. I never had an issue here and for the most part is clean and safe.'
'Citibank', "'441 Columbus Ave' 'Upper West Side' 'New York NY 10024'", 10024, 4.0, 9177461194, 'This Upper West Side location is by far the best Citi-Bank location as far as customer-service! Its clean bank tellers are friendly and efficient. I have...'
'Chase Bank', "'2438 Broadway' 'Upper West Side' 'New York NY 10024'", 10024, 4.0, 2128733020, 'The elderly lady in front of me initially started cursing about how long the line was. It\'s plain ol\' disturbing to hear a senior citizen say "Where are the...'
'Chase Bank', "'12 E 86th St' 'Upper East Side' 'New York NY 10028'", 10028, 5.0, 2125359755, "I bank more often with Sovereign but have an account in Chase too.  I don't frequent Chase that often but this time it was a great experience.\n\nNeeding..."
'TD Bank', "'1995 Broadway' 'Upper West Side' 'Manhattan NY 10023'", 10023, 2.5, 2125799418, 'This branch is in an extremely convenient place and the customer service is always great.\n\nYou will not wait for more than a few minutes to be helped by one...'
'TD Bank', "'535 Columbus Ave' 'Upper West Side' 'New York NY 10024'", 10024, 5.0, 2125806092, "I love this specific branch because it is hardly ever crowded here. The staff is always friendly and helpful. I'm surprised that after all these years..."
'Chase Bank', "'2030 Broadway' 'Upper West Side' 'New York NY 10023'", 10023, 4.5, 2125806493, 'I never imagined I would write a review for a bank but the Chase on 70th & Broadway has earned their five stars. \n\nI went into this branch this...'
'Citibank', "'757 Madison Ave' 'Upper East Side' 'New York NY 10065'", 10065, 2.0, 6465710168, 'Going on one year as a business and personal banker with Citibank I have to say that I am very satisfied. Switching from the HSBC branch in my building...'
'TD Bank', "'1230 3rd Ave' 'Upper East Side' 'New York NY 10021'", 10021, 3.5, 2125351260, 'Great service here and the bankers are nice!\n\nI prefer this location since they are usually not crowded. Although there are a slew of Chase banks I stay...'
'Citibank', "'2350 Broadway' 'Upper West Side' 'New York NY 10024'", 10024, 3.0, 6462593438, 'Clean and nice location.\n\nVery helpful staff and reliable in doing what was needed to change my account in a matter of an hour.'
'Citibank', "'170 W 72 At Broadway' 'Upper West Side' 'New York NY 10023'", 10023, 5.0, 6462593293, 'Very satisfied with the handling of my complicated wire transfers to Europe at this Citibank branch! The bank teller - Mr. Jonathan Rice - swiftly and...'
'Chase Bank', "'335 Columbus Ave' 'Upper West Side' 'New York NY 10023'", 10023, 4.0, 2128731207, "After realizing that I'll still be making the minimum payment on my student loans while approaching retirement I am hesitant to part with my hard-earned..."
'Bank of America', "'2260 Broadway' 'Upper West Side' 'New York NY 10024'", 10024, 1.0, 'No phone number posted', 'Went to get a document notarized.  They had two notaries on staff that morning.  More than half hour wait to until I could be seen.  Slow service....'
'Chase Bank', "'2219 Broadway' 'Upper West Side' 'New York NY 10024'", 10024, 2.5, 2127694779, "I started an account to write this review. While I would normally be hesitant to write a review for a huge financial conglomerate I can't help but enjoy my..."
'Capital One Bank', "'2379 Broadway' 'Upper West Side' 'New York NY 10024'", 10024, 3.0, 2127872914, 'Usually great customer service but very understaffed. I usually go there dureing my lunch break as it is the closest to my work. However I went in today...'
'Chase Bank', "'260 Columbus Ave' 'Upper West Side' 'New York NY 10023'", 10023, 2.5, 2127690400, 'The local Chase branch good for all your ATM and Chase banking needs.  The employees here don\'t try to attack you and "Chase" you off with garbage you...'
'Citibank', "'2560 Broadway' 'Upper West Side' 'New York NY 10025'", 10025, 3.0, 6462593292, "Some bank branches are awful slow and crappy. This one happens to be fast.  Its clean too. Not much else to say.  It's just a bank."
'Bank of America', "'2077 Broadway' 'Upper West Side' 'New York NY 10023'", 10023, 1.0, 2125951361, 'I feel like I never have great experiences when I go to a Bank of America. I went in today on my lunch break hoping to close out my CD account. I was hoping...'
'Bank of America', "'1066 Lexington Ave' 'Upper East Side' 'New York NY 10021'", 10021, 3.0, 2127741883, 'They treat me so well! I went in yesterday with a huge crisis involving another bank with which I have an account and they solved my problem quickly even...'
'Bank of America', "'808 Columbus Ave' 'Manhattan Valley' 'New York NY 10025'", 10025, 4.0, 2123280004, 'Great location for a lot of reasons:\n\n- Easy parking options on-street nearby.\n\n- 8AM to 6PM hours throughout the week.  Good on either side of the...'
'Sefcu A Federal Credit Union', "'110 State St' 'Albany NY 12207'", 12207, 3.5, 5184528183, 'An excellent branch of a fantastic credit union.\n\nThis branch is clean and the staff is friendly and easy to work with.  Even when the line is particularly...'
'Bank of America', "'69 State St' 'Albany NY 12207'", 12207, 2.5, 8004321000, "Not the worst BOA not the best.  It is spectacularly beautiful inside but that is history BOA didn't do that.\n\nPros-\nUsually small lines and efficient..."
'First Niagara Bank', "'120 State St' 'Albany NY 12207'", 12207, 2.0, 5184332000, 'My review is about the ATM. Be careful!  So after you enter your PIN there is a series of options presented on screen like withdrawal deposit balance etc...'
'Keybank', "'200 Washington Ave' 'Albany NY 12210'", 12210, 1.0, 5184631228, 'I used to have an account with Keybank many years ago when they had a branch at Albany County Airport.  At the time I worked at the airport and we were paid...'
'Berkshire Bank', "'41 State St Ste 100' 'Albany NY 12207'", 12207, 1.5, 5184320318, 'I signed up for an intro rate... kept the account for years... and recently used the online banking service.  It is poorly designed and deceptive.  As a...'
'Pioneer Bank', "'90 State St' 'Albany NY 12207'", 12207, 1.0, 5184275913, "I can't comment on service at this bank's other branches but the service at the downtown Albany branch (which has moved to 90 State Street) is absolutely..."
'Alternatives Federal Credit Union', "'125 N. Fulton St' 'Ithaca NY 14850'", 14850, 4.0, 6072734611, "I've banked with AFCU since 1990. They do a good job with banking and do good things in the community. It's refreshing to find a serious robust financial..."
'Tompkins Trust Company', "'119 E Seneca St' 'Ithaca NY 14850'", 14850, 2.0, 6072733370, 'I opened a (free) checking account at TTC and maintained a significant balance (over $2000) for 6 months. This month they changed the terms of the account...'
'Elmira Savings Bank', "'702 S Meadow St' 'Ithaca NY 14850'", 14850, 3.0, 6072722211, 'ELMIRA Savings is a true community bank that appreciates their customers.   Their mortgage rate was competitive and we closed quickly.  I highly recommend ESB!!'
'Tompkins County Trust Co Triphmr Office', "'Triphmr Shopng Ctr' 'Ithaca NY 14850'", 14850, 1.0, 6072733210, "It's too bad that a 'local' bank is this disappointing.  They accused me of receiving a lot more money from a teller than was actually given to me and froze..."
'PPM Homes', "'514 S Aurora St' 'Ithaca NY 14850'", 14850, 1.5, 6072721765, 'I rented from this company three years ago. We rented one of the apartments he manages at 136 East Spencer. It was a good deal for the money; a 3BR...'
'Bank of America', "'99 S 4th St' 'Downtown' 'San Jose CA 95113'", 95113, 3.0, 4089830588, 'Very helpful service. Tran was very efficient and took extra time to make sure I left with all my banking needs taken care of.\n\nThanks Tran'
'Wells Fargo Bank', "'121 Park Center Plz 1St Fl' 'Downtown' 'San Jose CA 95113'", 95113, 3.5, 4082776535, 'This was my first time at this location.\nI usually go to the one in Willow Glen or Campbell.\nI just happened to be in the area and I decided to stop by this...'
'Chase Bank', "'55 W Santa Clara St' 'Downtown' 'San Jose CA 95113'", 95113, 2.5, 4082913331, 'This review is only based on my experience opening a new credit card/debit card with Chase not for any deposits/withdrawals. My banker was Chin. He was...'
'Citibank', "'10 Almaden Blvd' 'Ste 100' 'Downtown' 'San Jose CA 95113'", 95113, 4.0, 4082171758, "I don't live close by this branch but I purposely go out of my way to do my banking at this specific Citibank! The tellers are always cheerful and happy to..."
'Umpqua Bank', "'225 W Santa Clara Street' 'Stes 150 & 250' 'Downtown' 'San Jose CA 95113'", 95113, 4.5, 4087554801, "Very helpful and knowledgeable staff. It was a pleasure doing business there. Another example of why Umpqua is the World's Greatest Bank!"
'PremierOne Credit Union', "'88 S 4th St' 'Downtown' 'San Jose CA 95112'", 95112, 3.0, 4085244500, 'Super friendly service with no lines.  FREE checking with no gimmicks.  Free money orders.  \n\nI recommend this credit union to everyone I know.'
'Bank of America', "'3491 McKee Rd' 'Downtown' 'San Jose CA 95109'", 95109, 1.5, 4089830588, 'The boss lady is friendly... but pushy and manipulative!  I went in there for  a matter with my savings account and she bullied me into opening a checking...'
'Santa Clara County Federal Credit Union', "'852 N 1st St' 'Downtown' 'San Jose CA 95112'", 95112, 3.0, 4082820700, 'Great Credit Union. I\'ve been with them since the early 90s when I worked for the County of Santa Clara.\n\nBUT watch out for those "pitfalls" like Line of...'
'Comerica Bank Club', "'333 W Santa Clara St' 'Downtown' 'San Jose CA 95113'", 95113, 5.0, 4085565300, 'Had a really bad experience with CHASE Bank on Colman ave with Angel she was very rude an not even helpful with me an my sister. So we decided to come to...'
'Bridge Bank', "'55 Almaden Blvd' 'Downtown' 'San Jose CA 95113'", 95113, 1.0, 4084238500, 'My partners and I borrowed construction funds from Bridge Bank.  After dispersing $2.3 million to us they suddenly demanded $500K back--saying that our...'
'Comerica Bank', "'333 Santa Clara St' 'Downtown' 'San Jose CA 95113'", 95113, 1.0, 4085289140, 'Worst bank ever !!!!!!! Jenny Nguyen is the rudest most unprofessional manager ever!! Closed out all my personal and bussiness accounts.\nAvoid doing...'
'Golden 1 Credit Union', "'185 Park Ave' 'Ste 181' 'Downtown' 'San Jose CA 95113'", 95113, 3.0, 8774653361, 'When I moved down to the bay area from Sacramento some years ago there were only a few Golden 1 branches and all were a lot to be desired.  Fast forward a...'
'Union Bank of California', "'99 Almaden Blvd' 'Ste 200' 'Downtown' 'San Jose CA 95113'", 95113, 4.0, 4082797766, 'Union bank staff are very friendly! Always helpful. They validated n have private costumer parking.'
'Focus Business Bank', "'10 Almaden Blvd Ste 150' 'Downtown' 'San Jose CA 95113'", 95113, 5.0, 4082885900, 'Process my monthly HOA dues with them. Not too bad of a bank :)'
'Bank of America', "'125 S Market St' 'Downtown' 'San Jose CA 95113'", 95113, 3.5, 4082777010, 'This review is for the location and people not the overall bank.\n\nLocation is nice large and well-kept.  Tellers are friendly (I had Christine who was...'
'Santa Clara County Federal Credit Union', "'140 E San Fernando St' 'Downtown' 'San Jose CA 95112'", 95112, 3.5, 4082820700, 'Quick service and the staff is extremely friendly. I like how they can answer any question I have with out confusing me to the point where I just agree to...'
'Privity Legal Group', "'50 W San Fernando St' 'Ste 900' 'Downtown' 'San Jose CA 95113'", 95113, 5.0, 4089157392, "I contacted Mr Reza K for a question he couldn't help me but took the time to refer me who someone who could... \n\nthank you"
'Comerica Bank', "'333 W Santa Clara St' 'Fl 5' 'Downtown' 'San Jose CA 95113'", 95113, 5.0, 4085565000, 'As a former employee of Comerica Bank I have kept an account with this bank long after I left my position.  I have never been disappointed with the customer...'
'California Bank & Trust', "'515 N 1st St' 'Downtown' 'San Jose CA 95112'", 95112, 1.5, 4089753350, 'I have been with California Bank and Trust since 2005--my primary branch is in Japantown San Jose.   \n\nI will start with the fact that their customer...'
'Bank of America', "'777 N 1st St' 'Downtown' 'San Jose CA 95112'", 95112, 1.0, 4089830588, 'Its a BOA...its getting really hard to recommend any BOA branches even though I have been with them for almost 20 years! The few times I came here the...'
'U.S. Bank', "'2001 Mission St' 'Mission' 'San Francisco CA 94110'", 94110, 5.0, 4155752800, "I have been coming to this branch for about 2 years now.  The customer service at this branch is amazing.  The teller's always know who I am and say my name..."
'Bank of America', "'1525 Market St' 'SoMa' 'San Francisco CA 94103'", 94103, 2.5, 6506154700, "Van Ness MUNI Metro Station is right in front and a bus stop is around the corner before the entrance to the parking garage.\n\nIt's good to know there are..."
'Wells Fargo Bank', "'2020 Market St' 'Duboce Triangle' 'San Francisco CA 94114'", 94114, 3.0, 4158651486, "This branch is in the hands of a wonderful Manager by the name of Michael Budha (sp?). He understands the importance of relationships with the company's..."
'Chase Bank', "'299 Valencia St' 'Mission' 'San Francisco CA 94103'", 94103, 3.0, 4157010408, "Pretty conveniently located and fully staffed. I've always been greater by an employee when I enter. Service ha always been pretty quick and smooth and..."
'Chase Bank', "'1201 Market St' 'SoMa' 'San Francisco CA 94103'", 94103, 3.0, 4152418700, "It's amazing how quickly people expect (demand?) service. Yes this bank is busy it's at the corner of a major intersection so if you don't expect that..."
'Chase Bank', "'500 Van Ness Ave' 'Civic Center' 'San Francisco CA 94102'", 94102, 3.5, 4156261458, 'I had a previous review. Things have changed a bit. Specifically 2 things:\n\n1) there are no longer enough tellers. The lines are long. \n2) the employee...'
'Chase Bank', "'2112 15th St' 'Duboce Triangle' 'San Francisco CA 94114'", 94114, 2.5, 4153559340, "I'm not a Chase customer just depositing some money for my roommate. But the place is modern and clean there's parking I was in and out fast and the..."
'First Republic Bank', "'1355 Market Street' 'Suite 140' 'Entrances: 9th Street and courtyard' 'SoMa' 'San Francisco CA 94103'", 94103, 5.0, 4154870888, 'Amazing service to client. Totally a must. \n\nI was attended bu Rachel Tan in best way I have ever been treated by a bank. All was easy and simple. Great...'
'Chase Bank', "'2300 16th St' 'Ste 290' 'Mission' 'San Francisco CA 94103'", 94103, 3.0, 4157030443, 'The girl that works in this branch is nice and friendly.'
'Bank of America', "'1 Powell St' 'Union Square' 'San Francisco CA 94102'", 94102, 3.0, 4158371394, 'I have never felt so happy at a bank!  I arrived in SF after my wallet being lost/stolen at Seatac with no ID no cash no credit etc.  I got a ride...'
'Wells Fargo Bank', "'3027 16Th St' 'Mission' 'San Francisco CA 94103'", 94103, 2.5, 4153964013, "This is the only Wells Fargo that I go to. The staff is incredibly friendly always smiling and greeting you upon entry. I love how it's conveniently..."
'Wells Fargo Bank', "'2300 16Th St' 'Mission' 'San Francisco CA 94103'", 94103, 1.5, 4154371582, "I was nervous to go here because of the 1-star reviews so I though I should reassure people that this branch was just fine for me. (Note: it's really small..."
'Chase Bank', "'555 9th St' 'SoMa' 'San Francisco CA 94103'", 94103, 4.0, 4152416812, 'I have noticed this Chase branch here at this location while I am on the 8X travelling across 101. Props to Chase for adding new branch locations to areas...'
'Wells Fargo Bank', "'1266 Market St' 'Civic Center' 'San Francisco CA 94102'", 94102, 2.0, 4153964424, "We've all had problems with large institutions.  This can be magnified when we entrust our money to them.  I don't have to deal with the bank staff at Wells..."
'SF Fire Credit Union', "'12 Mint Plz' 'Union Square' 'San Francisco CA 94103'", 94103, 5.0, 4156744800, "I've been with SFFCU since not long after I was born and they've always been great. I'm gonna focus this review on this branch in particular; see main..."
'Wells Fargo Bank', "'2595 Mission St' 'Mission' 'San Francisco CA 94110'", 94110, 2.5, 4153968103, "I LOVE Wells Fargo. I think they are the best bank. I've always had amazing customer service here. Whenever I've gotten stupid fees like overdraft fees or..."
'Chase Bank', "'2500 Mission St' 'Mission' 'San Francisco CA 94110'", 94110, 3.0, 4156478069, 'dropped in here to make a payment on my credit card. beautiful interior.\nno waiting. smiling tellers\n\nfree chocolate cookieshershey kisses on table...'
'Redwood Credit Union', "'1390 Market St' 'Civic Center' 'San Francisco CA 94102'", 94102, 3.5, 8004797928, 'I left Bank Of America a few years ago because I wanted better service and to feel like I was a customer not a product.'
'Bank of America', "'Hayes Valley' 'San Francisco CA 94102'", 94102, 3.0, 4156220400, 'I think these are the ATMs on Golden Gate Ave? They are just stand alone BofA ATMs. I have used them a few times when I am in the tenderloin and in need of...'
'Mission National Bank', "'3060 16th St' 'Mission' 'San Francisco CA 94103'", 94103, 3.0, 4158263627, "I've been going here for several years and this is a really great organization. I've had occasion to go to all 3 branches and the staff is uniformly..."
